modulation_scheme,rolloffFactorTX,rolloffFactorRX,spectralEffeciencyNoRolloffFactor,idealEsN0,demodulationLoss100,demodulationLoss300,demodulationLoss500,demodulationLoss600,dataRateTX,dataRateRX
"QPSK 2/9, VL SNR set1, Normal",0.2,0.2,0.434841,-2.85,1.6,1.3,1.3,1.2,0.002,0.0001
"BPSK 1/5, VL SNR set1, Medium",0.2,0.2,0.05,-6.85,1.6,1.3,1.3,1.2,0.002,0.0001
"BPSK 11/45, VL SNR set1, Medium",0.2,0.2,0.094444444,-5.5,1.6,1.3,1.3,1.2,0.002,0.0001
"BPSK 1/3, VL SNR set1, Medium",0.2,0.2,0.183333333,-4,1.6,1.3,1.3,1.2,0.002,0.0001
"BPSK-S 1/5, VL SNR set1, Spreading Factor 2, Short",0.2,0.2,0.05,-9.9,1.6,1.3,1.3,1.2,0.002,0.0001
"BPSK-S 11/45, VL SNR set1, Spreading Factor 2, Short",0.2,0.2,0.094444444,-8.3,1.6,1.3,1.3,1.2,0.002,0.0001
"BPSK 1/5, VL SNR set2, Short",0.2,0.2,0.05,-6.1,1.6,1.3,1.3,1.2,0.002,0.0001
"BPSK 4/15, VL SNR set2, Short",0.2,0.2,0.116666667,-4.9,1.6,1.3,1.3,1.2,0.002,0.0001
"BPSK 1/3, VL SNR set2, Short",0.2,0.2,0.183333333,-3.72,1.6,1.3,1.3,1.2,0.002,0.0001
QPSK 13/45 Normal,0.2,0.2,0.567805,-2.03,1.5,1.4,1.1,1.4,0.002,0.0001
QPSK 9/20 Normal,0.2,0.2,0.889135,0.22,0.9,0.7,0.7,0.8,0.002,0.0001
QPSK 11/20 Normal,0.2,0.2,1.088581,1.45,0.7,0.5,0.5,0.6,0.002,0.0001
8APSK 5/9 Normal,0.2,0.2,1.647211,4.73,1.5,1.3,1.2,1.5,0.002,0.0001
8APSK 26/45 Normal,0.2,0.2,1.713601,5.13,1.5,1.3,1.2,1.5,0.002,0.0001
8PSK 23/36 Normal,0.2,0.2,1.896173,6.12,1.2,1,1,1.1,0.002,0.0001
8PSK 25/36 Normal,0.2,0.2,2.062148,7.02,1.2,1,1,1.1,0.002,0.0001
8PSK 13/18 Normal,0.2,0.2,2.145136,7.49,0.7,0.6,0.7,0.8,0.002,0.0001
16APSK 1/2 Normal,0.2,0.2,1.972253,5.97,1,0.9,1,0.9,0.002,0.0001
16APSK 8/15 Normal,0.2,0.2,2.10485,6.55,1,0.9,1,0.9,0.002,0.0001
16APSK 5/9 Normal,0.2,0.2,2.193247,6.84,1,0.9,1,0.9,0.002,0.0001
16APSK 26/45 Normal,0.2,0.2,2.281645,7.51,0.9,0.7,0.9,0.9,0.002,0.0001
16APSK 3/5 Normal,0.2,0.2,2.370043,7.8,0.9,0.7,0.9,0.9,0.002,0.0001
16APSK 3/5 Normal,0.2,0.2,2.370043,7.41,0.9,0.7,0.9,0.9,0.002,0.0001
16APSK 28/45 Normal,0.2,0.2,2.458441,8.1,0.9,0.7,0.9,0.9,0.002,0.0001
16APSK 23/36 Normal,0.2,0.2,2.524739,8.38,0.9,0.7,0.9,0.9,0.002,0.0001
16APSK 2/3 Normal,0.2,0.2,2.635236,8.43,0.9,0.7,0.9,0.9,0.002,0.0001
16APSK 25/36 Normal,0.2,0.2,2.745734,9.27,0.7,0.7,0.9,0.9,0.002,0.0001
16APSK 13/18 Normal,0.2,0.2,2.856231,9.71,0.7,0.7,0.9,0.9,0.002,0.0001
16APSK 7/9 Normal,0.2,0.2,3.077225,10.65,0.7,0.7,0.9,0.9,0.002,0.0001
16APSK 77/90 Normal,0.2,0.2,3.386618,11.99,0.7,0.7,0.9,0.9,0.002,0.0001
32APSK 2/3 Normal,0.2,0.2,3.289502,11.1,1.2,1.2,1.7,1.5,0.002,0.0001
32APSK 32/45 Normal,0.2,0.2,3.510192,11.75,1.2,1.2,1.7,1.5,0.002,0.0001
32APSK 11/15 Normal,0.2,0.2,3.620536,12.17,1.2,1.3,1.6,1.5,0.002,0.0001
32APSK 7/9 Normal,0.2,0.2,3.841226,13.05,1.1,1.1,1.5,1.4,0.002,0.0001
64APSK 32/45 Normal,0.2,0.2,4.206428,13.98,1.1,1.3,1.6,1.5,0.002,0.0001
64APSK 11/15 Normal,0.2,0.2,4.338659,14.81,1.1,1.3,1.6,1.5,0.002,0.0001
64APSK 7/9 Normal,0.2,0.2,4.603122,15.47,1.1,1.3,1.6,1.5,0.002,0.0001
64APSK 4/5 Normal,0.2,0.2,4.735354,15.87,1.1,1.3,1.6,1.5,0.002,0.0001
64APSK 5/6 Normal,0.2,0.2,4.933701,16.55,1.1,1.3,1.6,1.5,0.002,0.0001
128APSK 3/4 Normal,0.2,0.2,5.163248,17.73,1.1,1.3,1.6,1.5,0.002,0.0001
128APSK 7/9 Normal,0.2,0.2,5.355556,18.53,1.1,1.3,1.6,1.5,0.002,0.0001
256APSK 29/45 Normal,0.2,0.2,5.06569,16.98,1.1,1.3,1.6,1.5,0.002,0.0001
256APSK 2/3 Normal,0.2,0.2,5.241514,17.24,1.1,1.3,1.6,1.5,0.002,0.0001
256APSK 31/45 Normal,0.2,0.2,5.417338,18.1,1.1,1.3,1.6,1.5,0.002,0.0001
256APSK 32/45 Normal,0.2,0.2,5.593162,18.59,1.1,1.3,1.6,1.5,0.002,0.0001
256APSK 11/15 Normal,0.2,0.2,5.768987,18.84,1.1,1.3,1.6,1.5,0.002,0.0001
256APSK 3/4 Normal,0.2,0.2,5.900855,19.57,1.1,1.3,1.6,1.5,0.002,0.0001
QPSK 11/45 Short,0.2,0.2,0.423360556,-2.5,1.6,1.3,1.3,1.2,0.002,0.0001
QPSK 4/15 Short,0.2,0.2,0.766912778,-2.24,1.6,1.3,1.3,1.2,0.002,0.0001
QPSK 14/45 Short,0.2,0.2,0.650246111,-1.46,1.6,1.3,1.3,1.2,0.002,0.0001
QPSK 7/15 Short,0.2,0.2,0.905247667,0.6,1.6,1.3,1.3,1.2,0.002,0.0001
QPSK 8/15 Short,0.2,0.2,0.971914333,1.45,1.6,1.3,1.3,1.2,0.002,0.0001
QPSK 32/45 Short,0.2,0.2,1.149692111,3.66,1.6,1.3,1.3,1.2,0.002,0.0001
8PSK 7/15 Short,0.2,0.2,1.458322111,3.83,1.6,1.3,1.3,1.2,0.002,0.0001
8PSK 8/15 Short,0.2,0.2,1.524988778,4.71,1.6,1.3,1.3,1.2,0.002,0.0001
8PSK 26/45 Short,0.2,0.2,1.613601,5.52,1.6,1.3,1.3,1.2,0.002,0.0001
8PSK 32/45 Short,0.2,0.2,2.034024889,7.54,1.6,1.3,1.3,1.2,0.002,0.0001
16APSK 7/15 Short,0.2,0.2,1.838919667,5.99,1.6,1.3,1.3,1.2,0.002,0.0001
16APSK 8/15 Short,0.2,0.2,2.00485,6.93,1.6,1.3,1.3,1.2,0.002,0.0001
16APSK 26/45 Short,0.2,0.2,2.181645,7.66,1.6,1.3,1.3,1.2,0.002,0.0001
16APSK 3/5 Short,0.2,0.2,2.270043,8.1,1.6,1.3,1.3,1.2,0.002,0.0001
16APSK 32/45 Short,0.2,0.2,2.745119889,9.81,1.6,1.3,1.3,1.2,0.002,0.0001
32APSK 2/3 Short,0.2,0.2,3.189502,11.41,1.6,1.3,1.3,1.2,0.002,0.0001
32APSK 32/45 Short,0.2,0.2,3.410192,12.18,1.6,1.3,1.3,1.2,0.002,0.0001
 Code rate:0 ; ,0.2,0.2,,,1.6,1.3,1.3,1.2,0.002,0.0001
