date	fed-o	fed	type	level	status	comment
1607676503	0	0	128	10	0	
1607676505	0	0	3	9	0	Federation Name : HOOPSIM_whatIf, Handle : 1 created - OK
1607676505	0	0	5	9	0	Federate "orch_f" joins Federation "HOOPSIM_whatIf"(1) with handle 1. Socket 6 - OK
1607676505	1	1	8	8	0	ON at time 1.000000 - OK
1607676505	1	1	9	8	0	ON at time 0.000000 - OK
1607676505	1	1	12	8	0	Label "_readyToPopulate" registered. Tag is "Waiting All Federates to populate RTI" - OK
1607676505	1	1	12	8	0	Label "_readyToShareTimeOBC" registered. Tag is "Waiting All Federates to share time tag ORCHESTRATOR list in RTI" - OK
1607676505	1	1	12	8	0	Label "_readyToShareTimeORBIT" registered. Tag is "Waiting All Federates to share time tag ORBIT list in RTI" - OK
1607676505	1	1	12	8	0	Label "_readyToSetTime" registered. Tag is "Waiting All Federates to set the time tag list in RTI" - OK
1607676505	1	1	12	8	0	Label "_readyToRun" registered. Tag is "Waiting All Federates to run" - OK
1607676505	1	1	12	8	0	Label "_readyToResign" registered. Tag is "Waiting All Federates to resign" - OK
1607676513	0	0	3	10	36	Federation Name : HOOPSIM_whatIf, Handle : 2HOOPSIM_whatIf - Exception
1607676513	0	0	5	9	0	Federate "orbit_f" joins Federation "HOOPSIM_whatIf"(1) with handle 2. Socket 7 - OK
1607676513	1	2	8	8	0	ON at time 1.000000 - OK
1607676513	1	2	9	8	0	ON at time 0.000000 - OK
1607676513	1	2	15	8	0	Label "_readyToPopulate" ended - OK
1607676514	0	0	3	10	36	Federation Name : HOOPSIM_whatIf, Handle : 3HOOPSIM_whatIf - Exception
1607676514	0	0	5	9	0	Federate "payload_f" joins Federation "HOOPSIM_whatIf"(1) with handle 3. Socket 8 - OK
1607676514	1	3	8	8	0	ON at time 1.000000 - OK
1607676514	1	3	9	8	0	ON at time 0.000000 - OK
1607676514	1	3	15	8	0	Label "_readyToPopulate" ended - OK
1607676517	0	0	3	10	36	Federation Name : HOOPSIM_whatIf, Handle : 4HOOPSIM_whatIf - Exception
1607676517	0	0	5	9	0	Federate "solararr_f" joins Federation "HOOPSIM_whatIf"(1) with handle 4. Socket 9 - OK
1607676517	1	4	8	8	0	ON at time 1.000000 - OK
1607676517	1	4	9	8	0	ON at time 0.000000 - OK
1607676517	1	4	15	8	0	Label "_readyToPopulate" ended - OK
